,ensemble_size,random,covariance,bandwidth,sampling,RMSE
49,3,17,0.25,0.6666666666666666,normalizing_flow,0.839910023539726
50,3,18,0.25,0.6666666666666666,normalizing_flow,0.8577201122164867
51,3,19,0.25,0.6666666666666666,normalizing_flow,0.888667229999925
52,3,20,0.25,0.6666666666666666,normalizing_flow,0.8997223603004515
53,3,21,0.25,0.6666666666666666,normalizing_flow,0.8449869672676728
54,3,22,0.25,0.6666666666666666,normalizing_flow,0.8691036775189501
55,3,23,0.25,0.6666666666666666,normalizing_flow,0.8812028520391033
56,3,24,0.25,0.6666666666666666,normalizing_flow,0.8737850292990106
57,3,25,0.25,0.6666666666666666,normalizing_flow,0.8729849211708565
58,3,26,0.25,0.6666666666666666,normalizing_flow,0.860623683670612
59,3,27,0.25,0.6666666666666666,normalizing_flow,0.8791900437060065
60,3,28,0.25,0.6666666666666666,normalizing_flow,0.8541894757506311
61,3,29,0.25,0.6666666666666666,normalizing_flow,0.8543557343284128
62,3,30,0.25,0.6666666666666666,normalizing_flow,0.897288732410688
63,3,31,0.25,0.6666666666666666,normalizing_flow,0.8595651877720971
64,3,0,0.25,1.0,normalizing_flow,0.891242868179713
65,3,1,0.25,1.0,normalizing_flow,0.856600027336638
66,3,2,0.25,1.0,normalizing_flow,0.8725495320636638
67,3,3,0.25,1.0,normalizing_flow,0.9104736470512088
68,3,4,0.25,1.0,normalizing_flow,0.8766853756682703
69,3,5,0.25,1.0,normalizing_flow,0.8711625171049326
70,3,6,0.25,1.0,normalizing_flow,0.8587104646740802
71,3,7,0.25,1.0,normalizing_flow,0.8641233979566121
72,3,8,0.25,1.0,normalizing_flow,0.8521448256602947
73,3,9,0.25,1.0,normalizing_flow,0.8789631574742418
74,3,10,0.25,1.0,normalizing_flow,0.8594053724738646
75,3,11,0.25,1.0,normalizing_flow,0.8730140187642704
76,3,12,0.25,1.0,normalizing_flow,0.8685341668145119
77,3,13,0.25,1.0,normalizing_flow,0.8616870781772965
78,3,14,0.25,1.0,normalizing_flow,0.8726966560984455
79,3,15,0.25,1.0,normalizing_flow,0.8464207635049315
80,3,16,0.25,1.0,normalizing_flow,0.8337796518767684
81,3,17,0.25,1.0,normalizing_flow,0.8419870082225119
82,3,18,0.25,1.0,normalizing_flow,0.8569477614274845
83,3,19,0.25,1.0,normalizing_flow,0.8490934067345004
84,3,20,0.25,1.0,normalizing_flow,0.8505860263770266
85,3,21,0.25,1.0,normalizing_flow,0.867662439429579
86,3,22,0.25,1.0,normalizing_flow,0.8685904516271429
87,3,23,0.25,1.0,normalizing_flow,0.8683408040377529
88,3,24,0.25,1.0,normalizing_flow,0.878031806192301
89,3,25,0.25,1.0,normalizing_flow,0.8827289139168
90,3,26,0.25,1.0,normalizing_flow,0.8749385787302827
91,3,27,0.25,1.0,normalizing_flow,0.8734737968020572
92,3,28,0.25,1.0,normalizing_flow,0.883794180147234
93,3,29,0.25,1.0,normalizing_flow,0.8759557273763154
94,3,30,0.25,1.0,normalizing_flow,0.8664066706073114
95,3,31,0.25,1.0,normalizing_flow,0.8798730150892711
96,3,0,1.0,0.3333333333333333,normalizing_flow,3.5321645225261973
97,3,1,1.0,0.3333333333333333,normalizing_flow,0.8917552780312932
98,3,2,1.0,0.3333333333333333,normalizing_flow,0.9287186115580143
99,3,3,1.0,0.3333333333333333,normalizing_flow,0.8685392672727639
100,3,4,1.0,0.3333333333333333,normalizing_flow,0.8855237057950335
101,3,5,1.0,0.3333333333333333,normalizing_flow,0.8653514975355259
102,3,6,1.0,0.3333333333333333,normalizing_flow,0.8434565911168681
103,3,7,1.0,0.3333333333333333,normalizing_flow,0.8857840896087318
104,3,8,1.0,0.3333333333333333,normalizing_flow,0.8573723871303104
105,3,9,1.0,0.3333333333333333,normalizing_flow,0.8592226099327337
106,3,10,1.0,0.3333333333333333,normalizing_flow,0.8835053512443888
